Amount;EdgeAL;Random;P100;P99;CORESET;ENT;MAR.;MAXRPR;MCDR;RMCDR;CEAL;CONF
1;0.4640905559062958;0.46422240138053894;0.7997717017477209;0.7917723;0.4567354619503021;0.45871248841285706;0.4641611874103546;0.4531947672367096;0.46671661734580994;0.4577801525592804;0.44962579011917114;0.4661610424518585
12;0.7970521450042725;0.6112455725669861;0.7997717017477209;0.7917723;0.4159403145313263;0.44962698221206665;0.43884363770484924;0.5241928696632385;0.46248936653137207;0.407766729593277;0.5229341983795166;0.44492480158805847
22;0.7949433922767639;0.7073149085044861;0.7997717017477209;0.7917723;0.5654559135437012;0.5974407196044922;0.5468284487724304;0.5634823441505432;0.6316643953323364;0.5850407481193542;0.537421464920044;0.5506812930107117
33;0.7558812499046326;0.6890377998352051;0.7997717017477209;0.7917723;0.5270566344261169;0.7139471769332886;0.6706192493438721;0.6636192202568054;0.5943514704704285;0.5270987153053284;0.5790643095970154;0.5815507173538208
44;0.8082870841026306;0.7302090525627136;0.7997717017477209;0.7917723;0.6544848680496216;0.6466794610023499;0.6599160432815552;0.7850635051727295;0.6800769567489624;0.6752666234970093;0.7626535296440125;0.6625036001205444
54;0.7448974847793579;0.7326402068138123;0.7997717017477209;0.7917723;0.7659972906112671;0.7807741761207581;0.7832156419754028;0.7864652872085571;0.7831584811210632;0.7972268462181091;0.7933135628700256;0.7735176682472229
65;0.809126615524292;0.7535637617111206;0.7997717017477209;0.7917723;0.7350628972053528;0.78875732421875;0.7721112370491028;0.7178767919540405;0.7956781387329102;0.80122971534729;0.7931312918663025;0.791375458240509
75;0.7371342778205872;0.8051396608352661;0.7997717017477209;0.7917723;0.8099611401557922;0.8019592761993408;0.8015778660774231;0.7711871862411499;0.8012730479240417;0.8057605624198914;0.8021912574768066;0.7988721132278442
86;0.8019005060195923;0.7999894022941589;0.7997717017477209;0.7917723;0.8056362271308899;0.7989934682846069;0.7970578670501709;0.798516571521759;0.8010205626487732;0.8024466037750244;0.8035893440246582;0.8037610054016113
97;0.796100378036499;0.799072802066803;0.7997717017477209;0.7917723;0.7962886691093445;0.8019602298736572;0.8096200823783875;0.8084100823783875;0.809069037437439;0.7962104082107544;0.804162323474884;0.8068146109580994
