Amount;CEAL;Random;ENT;CONF;MAR.;CORESET;MCDR;RMCDR;EdgeAL;P99;P100
4;0.46351367235183716;0.4470497965812683;0.5610983967781067;0.599233865737915;0.5991853475570679;0.5968928933143616;0.4617650806903839;0.4556208848953247;0.46812495589256287;.831;.847
15;0.42890694737434387;0.5912011861801147;0.5730642080307007;0.561168372631073;0.5570746660232544;0.5076780915260315;0.44173663854599;0.437712162733078;0.7991167902946472;.831;.847
25;0.5412663817405701;0.6843410730361938;0.6594342589378357;0.6637336611747742;0.6798596978187561;0.7041983604431152;0.5486670732498169;0.5560093522071838;0.829354465007782;.831;.847
36;0.4959569573402405;0.7050395011901855;0.7529193758964539;0.749189019203186;0.755622386932373;0.7537808418273926;0.5511600971221924;0.593336820602417;0.8344864249229431;.831;.847
46;0.8079811334609985;0.8307401537895203;0.7968828678131104;0.8115451335906982;0.8101968169212341;0.7872543931007385;0.7173420190811157;0.6839609146118164;0.7988602519035339;.831;.847
57;0.7391827702522278;0.7937156558036804;0.8165706396102905;0.8199959397315979;0.8296420574188232;0.8224085569381714;0.7258931398391724;0.8260763883590698;0.8339815139770508;.831;.847
68;0.7404734492301941;0.737038254737854;0.8161812424659729;0.825297474861145;0.8122586011886597;0.8192801475524902;0.8324029445648193;0.7970998287200928;0.8009690046310425;.831;.847
78;0.841957688331604;0.8411896824836731;0.8333550691604614;0.8219701647758484;0.8300559520721436;0.8291599154472351;0.823378324508667;0.8185335993766785;0.843934953212738;.831;.847
89;0.8218037486076355;0.7251789569854736;0.8330238461494446;0.8273816704750061;0.8250738978385925;0.8222029805183411;0.6997945308685303;0.7032193541526794;0.74471515417099;.831;.847
