Amount;CEAL;MAXRPR;EdgeAL;CORESET;CONF;Random;ENT;MCDR;RMCDR;MAR.;P100;P99
1;0.3443947732448578;0.3501273989677429;0.35089510679244995;0.3363489508628845;0.3491019010543823;0.33886635303497314;0.3559016287326813;0.3509165644645691;0.34822115302085876;0.3593705892562866;0.7945986092090607;0.78655
12;0.49063169956207275;0.4539209008216858;0.7915828227996826;0.37437063455581665;0.37063297629356384;0.5858080983161926;0.3772085905075073;0.3882767856121063;0.386220782995224;0.36297622323036194;0.7945986092090607;0.78655
22;0.4823186993598938;0.7043694853782654;0.7988319993019104;0.6219469904899597;0.6038805842399597;0.7426496148109436;0.5999756455421448;0.6153896450996399;0.5779059529304504;0.5917158722877502;0.7945986092090607;0.78655
33;0.5669541954994202;0.6058419346809387;0.792687177658081;0.527728259563446;0.6353509426116943;0.655413031578064;0.6267940402030945;0.5374673008918762;0.521881103515625;0.6527734398841858;0.7945986092090607;0.78655
43;0.755405843257904;0.7351396083831787;0.8041887283325195;0.6630322933197021;0.6885312795639038;0.7532519102096558;0.6575086116790771;0.688644528388977;0.6669793128967285;0.6746727824211121;0.7945986092090607;0.78655
54;0.7678144574165344;0.7902944684028625;0.7948778867721558;0.7750921845436096;0.7742982506752014;0.7761296033859253;0.7606799602508545;0.7830336093902588;0.7670165300369263;0.7815521955490112;0.7945986092090607;0.78655
65;0.7655780911445618;0.6900246143341064;0.8022603988647461;0.7781143188476562;0.7908774614334106;0.7902383804321289;0.8012973070144653;0.8004743456840515;0.7946249842643738;0.7956264615058899;0.7945986092090607;0.78655
75;0.7827537059783936;0.7894980907440186;0.8176059126853943;0.8137418031692505;0.7933309674263;0.802844226360321;0.7970559597015381;0.7896693348884583;0.784783124923706;0.7711274027824402;0.7945986092090607;0.78655
86;0.7782379388809204;0.7952314615249634;0.7904587984085083;0.7965831160545349;0.7912997007369995;0.8003230690956116;0.7852411866188049;0.7897977828979492;0.7793770432472229;0.8037869930267334;0.7945986092090607;0.78655
96;0.791978657245636;0.795978657245636;0.8070692420005798;0.7695549726486206;0.7770010232925415;0.8024709224700928;0.7765657901763916;0.7921831011772156;0.7917176485061646;0.8033237457275391;0.7945986092090607;0.78655
