Amount;EdgeAL;Random;P100;P99;ENT;CONF;CEAL;CORESET;MAR.;MAXRPR;MCDR;RMCDR
1;0.33463266491889954;0.3428845703601837;0.8432092883370139;0.834777207;0.3439178168773651;0.32638150453567505;0.34642356634140015;0.3553522229194641;0.3459474444389343;0.35385093092918396;0.3329428732395172;0.33804962038993835
12;0.8624064922332764;0.6873648762702942;0.8432092883370139;0.834777207;0.45009464025497437;0.4442475438117981;0.5460772514343262;0.5322991013526917;0.46438711881637573;0.6908330321311951;0.4813207983970642;0.45618531107902527
22;0.8704389929771423;0.820138156414032;0.8432092883370139;0.834777207;0.5452606081962585;0.5668381452560425;0.5984241366386414;0.6880161762237549;0.5461782813072205;0.6699810028076172;0.6800752282142639;0.7026183009147644
33;0.8734331727027893;0.7698736786842346;0.8432092883370139;0.834777207;0.687677800655365;0.6999233365058899;0.4921775460243225;0.6092138886451721;0.6787475347518921;0.5802444815635681;0.6269821524620056;0.7198764085769653
44;0.870011031627655;0.8589347004890442;0.8432092883370139;0.834777207;0.6937630772590637;0.6932117938995361;0.8530698418617249;0.7339919805526733;0.6944325566291809;0.8462461233139038;0.7156598567962646;0.7367528080940247
54;0.8513615131378174;0.8440381288528442;0.8432092883370139;0.834777207;0.8421195149421692;0.84309983253479;0.8414175510406494;0.8598446846008301;0.8512529134750366;0.8601037263870239;0.855614960193634;0.8635919690132141
65;0.8736792802810669;0.8513298630714417;0.8432092883370139;0.834777207;0.8586653470993042;0.8473811745643616;0.8134098649024963;0.8591440916061401;0.8641190528869629;0.7540698051452637;0.8663970828056335;0.851965069770813
75;0.8690176606178284;0.8646740913391113;0.8432092883370139;0.834777207;0.8663612008094788;0.8576083183288574;0.867078423500061;0.8707085847854614;0.8635457754135132;0.8700563311576843;0.8719165325164795;0.865803062915802
86;0.8738065958023071;0.8606524467468262;0.8432092883370139;0.834777207;0.8668301105499268;0.8616905212402344;0.8573902249336243;0.8662571907043457;0.8627277612686157;0.8681056499481201;0.8686525821685791;0.8667592406272888
97;0.860473096370697;0.8608573079109192;0.8432092883370139;0.834777207;0.8754581212997437;0.8641694188117981;0.8728863596916199;0.8569512963294983;0.8606014847755432;0.8615114847752343;0.8718041777610779;0.8733714818954468
