Amount;RMCDR;MCDR;CORESET;MAXRPR;EdgeAL;CEAL;ENT;MAR.;CONF;Random;P100;P99
1;0.6357499957084656;0.6356911659240723;0.6369665861129761;0.6357318162918091;0.6396288275718689;0.6197845935821533;0.6356679201126099;0.6403680443763733;0.6370419263839722;0.635640025138855;0.8984116339683532;0.8811
6;0.772545337677002;0.7892180681228638;0.736913800239563;0.7746063470840454;0.8742452263832092;0.844249963760376;0.835304856300354;0.8708547353744507;0.8227441906929016;0.8363913893699646;0.8984116339683532;0.8811
10;0.8460164666175842;0.8176463842391968;0.7727858424186707;0.8431513905525208;0.8751774430274963;0.8495825529098511;0.8761835098266602;0.8622074127197266;0.8902410268783569;0.8081796169281006;0.8984116339683532;0.8811
14;0.8512256145477295;0.870642364025116;0.8483788371086121;0.8542248606681824;0.8540119528770447;0.8549551367759705;0.8712025284767151;0.8564416766166687;0.8659125566482544;0.828787624835968;0.8984116339683532;0.8811
18;0.8602371215820312;0.8936974406242371;0.8459000587463379;0.8591195344924927;0.862932026386261;0.854604959487915;0.8273462653160095;0.8555773496627808;0.845073938369751;0.8304401636123657;0.8984116339683532;0.8811
22;0.8175646066665649;0.8871431350708008;0.8627892136573792;0.8941987156867981;0.8591740727424622;0.8924446105957031;0.8544078469276428;0.8795575499534607;0.8440852165222168;0.8352218270301819;0.8984116339683532;0.8811
27;0.8272173404693604;0.8784039616584778;0.8522014617919922;0.8758928179740906;0.8733094334602356;0.8580195307731628;0.853093683719635;0.8531193733215332;0.8796916604042053;0.8440300822257996;0.8984116339683532;0.8811
31;0.858497142791748;0.8857595920562744;0.8474104404449463;0.8798686265945435;0.8977293372154236;0.8792348504066467;0.8660110235214233;0.858029305934906;0.8769623041152954;0.8031713366508484;0.8984116339683532;0.8811
35;0.8400440812110901;0.8276571035385132;0.8851746916770935;0.8970426917076111;0.8842834234237671;0.8700120449066162;0.8471236824989319;0.8880979418754578;0.8694239258766174;0.8914384245872498;0.8984116339683532;0.8811
39;0.8835987448692322;0.8933318853378296;0.8608443737030029;0.8917033672332764;0.8785950541496277;0.8514135479927063;0.8759485483169556;0.8947914838790894;0.8529329299926758;0.8630277514457703;0.8984116339683532;0.8811
44;0.8283630013465881;0.8564203381538391;0.8703608512878418;0.8875364661216736;0.8439680933952332;0.883610725402832;0.84102463722229;0.8595637679100037;0.8986866474151611;0.8591748476028442;0.8984116339683532;0.8811
48;0.8963276147842407;0.8789942264556885;0.8622309565544128;0.8888885974884033;0.8901423215866089;0.8878217935562134;0.8909943699836731;0.8633154630661011;0.8958251476287842;0.8459841012954712;0.8984116339683532;0.8811
52;0.8430634140968323;0.8866637945175171;0.8620007634162903;0.8720253705978394;0.8866199851036072;0.8993935585021973;0.8255478739738464;0.8668554425239563;0.854075014591217;0.8585371971130371;0.8984116339683532;0.8811
56;0.8325578570365906;0.8584710359573364;0.8797724843025208;0.8779796361923218;0.8742667436599731;0.8625380396842957;0.8631499409675598;0.8319209814071655;0.878767728805542;0.8503812551498413;0.8984116339683532;0.8811
60;0.853110134601593;0.82899010181427;0.8509680032730103;0.8763917088508606;0.8884900808334351;0.8396353125572205;0.8942853212356567;0.8642243146896362;0.8329468965530396;0.8765954375267029;0.8984116339683532;0.8811
65;0.8917132019996643;0.8786936402320862;0.8956170678138733;0.8670960664749146;0.8892462849617004;0.8785102963447571;0.8727636933326721;0.897933840751648;0.8525912165641785;0.8853306770324707;0.8984116339683532;0.8811
69;0.8614321351051331;0.9054846167564392;0.8293711543083191;0.9006937742233276;0.8745489120483398;0.8582342863082886;0.8639099597930908;0.8919770121574402;0.9063944816589355;0.8547040224075317;0.8984116339683532;0.8811
73;0.83280348777771;0.8784500360488892;0.8338606357574463;0.8817165493965149;0.871331512928009;0.8823214769363403;0.8856019377708435;0.8898859024047852;0.8842609524726868;0.867877721786499;0.8984116339683532;0.8811
77;0.8693749308586121;0.8891415596008301;0.8548065423965454;0.8898217678070068;0.8941189050674438;0.8895441889762878;0.8951934576034546;0.843006432056427;0.8679223656654358;0.8354812264442444;0.8984116339683532;0.8811
81;0.9058454036712646;0.8807953000068665;0.8558529615402222;0.8867343068122864;0.8838104009628296;0.8496782183647156;0.8885180950164795;0.8858641982078552;0.8625931143760681;0.8783040642738342;0.8984116339683532;0.8811
86;0.8792133331298828;0.8804259300231934;0.8766335248947144;0.86782306432724;0.8845988512039185;0.8610565066337585;0.8495317101478577;0.8879745006561279;0.9039363861083984;0.8975754976272583;0.8984116339683532;0.8811
90;0.8757114410400391;0.8877155780792236;0.8888255953788757;0.8743563890457153;0.8757645487785339;0.8977422714233398;0.8750003576278687;0.8938796520233154;0.8971045613288879;0.892057478427887;0.8984116339683532;0.8811
94;0.9016166925430298;0.8930202126502991;0.9134500026702881;0.8670808672904968;0.8829443454742432;0.8943599462509155;0.8816723823547363;0.8972184062004089;0.8501357436180115;0.884412944316864;0.8984116339683532;0.8811
