Amount;EdgeAL;Random;P100;P99;MAXRPR;MAR.;CORESET;CONF;MCDR;RMCDR;CEAL;ENT
1;0.41882094740867615;0.4147094190120697;0.8329724290154197;0.824642705;0.4270361661911011;0.40940940380096436;0.3927305042743683;0.42464813590049744;0.43037986755371094;0.4164116084575653;0.4156315326690674;0.42027154564857483
12;0.8278684616088867;0.6440731287002563;0.8329724290154197;0.824642705;0.44086337089538574;0.42926910519599915;0.4457738697528839;0.4318322241306305;0.43289339542388916;0.44352003931999207;0.5226861834526062;0.43935656547546387
22;0.8316161632537842;0.7316996455192566;0.8329724290154197;0.824642705;0.762669563293457;0.640541672706604;0.6357923150062561;0.6280233263969421;0.669796347618103;0.6275196075439453;0.5252310037612915;0.6222724914550781
33;0.8191261291503906;0.7293424010276794;0.8329724290154197;0.824642705;0.58809894323349;0.7057594060897827;0.6146952509880066;0.6954797506332397;0.6996904015541077;0.5716522932052612;0.4747333228588104;0.6421507596969604
44;0.8362478017807007;0.800521969795227;0.8329724290154197;0.824642705;0.8233171701431274;0.7791017293930054;0.6917881965637207;0.7163923978805542;0.706777811050415;0.7163102626800537;0.800899863243103;0.7550445199012756
54;0.8173461556434631;0.7853601574897766;0.8329724290154197;0.824642705;0.812492311000824;0.8151556849479675;0.8180210590362549;0.8131340742111206;0.8106220960617065;0.8141809105873108;0.823822557926178;0.8188400268554688
65;0.8264472484588623;0.8093255758285522;0.8329724290154197;0.824642705;0.7672871351242065;0.8083597421646118;0.8185560703277588;0.8132011294364929;0.8267269134521484;0.8213427066802979;0.8157600164413452;0.8030903339385986
75;0.8164941072463989;0.8302908539772034;0.8329724290154197;0.824642705;0.8150508999824524;0.8069709539413452;0.814266562461853;0.8150710463523865;0.8332417607307434;0.8217108249664307;0.805799663066864;0.8130154013633728
86;0.8130252361297607;0.7990309596061707;0.8329724290154197;0.824642705;0.8346663117408752;0.8228567242622375;0.82412189245224;0.8026396036148071;0.8025722503662109;0.8200622797012329;0.8141627311706543;0.8088380098342896
97;0.8302236199378967;0.8064705729484558;0.8329724290154197;0.824642705;0.8331557234856345;0.8379797339439392;0.8321557641029358;0.828903079032898;0.8336716890335083;0.8272356986999512;0.8157700300216675;0.8361358642578125
