Amount;Random;EdgeAL;CEAL;ENT;CONF;CORESET;MAXRPR;MAR.;MCDR;RMCDR;P100;P99
0;0.679665207862854;0.6917152404785156;0.688573956489563;0.6781431436538696;0.6825740337371826;0.6820971965789795;0.687615156173706;0.6870095729827881;0.6877032518386841;0.691964328289032;0.8376479672905582;.831
2;0.7106099128723145;0.8303682208061218;0.7723041772842407;0.7458922266960144;0.7602092027664185;0.7784987688064575;0.7727451920509338;0.7351617217063904;0.7547926902770996;0.7100421786308289;0.8376479672905582;.831
5;0.7842921614646912;0.8516902327537537;0.7697099447250366;0.7233057618141174;0.7130547165870667;0.8131604790687561;0.7968024015426636;0.7195553183555603;0.7912960052490234;0.7929015159606934;0.8376479672905582;.831
7;0.8071645498275757;0.8388403654098511;0.727013885974884;0.7187578082084656;0.7136435508728027;0.778207004070282;0.7851555943489075;0.7800344228744507;0.7793039679527283;0.8147433400154114;0.8376479672905582;.831
10;0.8070430159568787;0.8361105918884277;0.701874852180481;0.7218760848045349;0.745265781879425;0.7794064283370972;0.8015046715736389;0.7386515140533447;0.7773219347000122;0.8364216089248657;0.8376479672905582;.831
12;0.821822464466095;0.8402932286262512;0.7277750372886658;0.7241040468215942;0.732705295085907;0.8205863833427429;0.7978184819221497;0.7587335705757141;0.7798103094100952;0.8112887144088745;0.8376479672905582;.831
15;0.8221818804740906;0.8466885685920715;0.7564337253570557;0.7574014663696289;0.7482098340988159;0.8194490075111389;0.7996689081192017;0.7429826855659485;0.8198902010917664;0.8218788504600525;0.8376479672905582;.831
17;0.8115656971931458;0.8393913507461548;0.7570448517799377;0.779717743396759;0.7354163527488708;0.7980637550354004;0.8239513039588928;0.7183067798614502;0.8113605976104736;0.8258491158485413;0.8376479672905582;.831
20;0.8167347311973572;0.8313977122306824;0.7796387672424316;0.7490315437316895;0.7857390642166138;0.8193721771240234;0.8206120133399963;0.745816171169281;0.8284696936607361;0.8118021488189697;0.8376479672905582;.831
22;0.812174916267395;0.8245822787284851;0.7402850389480591;0.7718005776405334;0.7686582803726196;0.8239250183105469;0.8274537324905396;0.738982617855072;0.8262508511543274;0.8171863555908203;0.8376479672905582;.831
25;0.8304961323738098;0.8274040818214417;0.7365189790725708;0.7713791131973267;0.7788029909133911;0.80207759141922;0.826367199420929;0.7449755668640137;0.8311440944671631;0.8120818734169006;0.8376479672905582;.831
27;0.8300161361694336;0.8448840379714966;0.7557302713394165;0.7628908753395081;0.7687271237373352;0.8188788294792175;0.8070774078369141;0.7374669313430786;0.822335958480835;0.8056825399398804;0.8376479672905582;.831
